Sentence #,Word,POS,Tag
,der,I-NP,I-PER
,Pas,I-NP,I-PER
,told,B-VP,O
,a,B-NP,O
,news,I-NP,O
,briefing,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,He,B-NP,O
,said,B-VP,O
,further,B-NP,O
,scientific,I-NP,O
,study,I-NP,O
,was,B-VP,O
,required,I-VP,O
,and,O,O
,if,B-SBAR,O
,it,B-NP,O
,was,B-VP,O
,found,I-VP,O
,that,B-SBAR,O
,action,B-NP,O
,was,B-VP,O
,needed,I-VP,O
,it,B-NP,O
,should,B-VP,O
,be,I-VP,O
,taken,I-VP,O
,by,B-PP,O
,the,B-NP,O
,European,I-NP,B-ORG
,Union,I-NP,I-ORG
,.,I-NP,I-ORG
,.,.,0
,"
",I-NP,I-ORG
,He,B-NP,O
,said,B-VP,O
,a,B-NP,O
,proposal,I-NP,O
,last,B-NP,O
,month,I-NP,O
,by,B-PP,O
,EU,B-NP,B-ORG
,Farm,I-NP,O
,Commissioner,I-NP,O
,Franz,I-NP,B-PER
,Fischler,I-NP,I-PER
,to,B-VP,O
,ban,I-VP,O
,sheep,B-NP,O
,brains,I-NP,O
,",",O,O
,spleens,B-NP,O
,and,O,O
,spinal,B-NP,O
,cords,I-NP,O
,from,B-PP,O
,the,B-NP,O
,human,I-NP,O
,and,I-NP,O
,animal,I-NP,O
,food,I-NP,O
,chains,I-NP,O
,was,B-VP,O
,a,B-NP,O
,highly,I-NP,O
,specific,B-ADJP,O
,and,I-ADJP,O
,precautionary,I-ADJP,O
,move,B-NP,O
,to,B-VP,O
,protect,I-VP,O
,human,B-NP,O
,health,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Fischler,B-NP,B-PER
,proposed,I-NP,O
,EU-wide,I-NP,B-MISC
,measures,B-VP,O
,after,B-PP,O
,reports,B-NP,O
,from,B-PP,O
,Britain,B-NP,B-LOC
,and,I-NP,O
,France,I-NP,B-LOC
,that,B-NP,O
,under,B-PP,O
,laboratory,B-NP,O
,conditions,B-NP,O
,sheep,I-NP,O
,could,B-VP,O
,contract,I-VP,O
,Bovine,B-NP,B-MISC
,Spongiform,I-NP,I-MISC
,Encephalopathy,I-NP,I-MISC
,(,O,O
,BSE,B-NP,B-MISC
,),O,O
Sentence :7,--,O,O
,mad,B-NP,O
,cow,I-NP,O
,disease,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,But,O,O
,Fischler,B-NP,B-PER
,agreed,B-VP,O
,to,I-VP,O
,review,I-VP,O
,his,B-NP,O
,proposal,I-NP,O
,after,B-PP,O
,the,B-NP,O
,EU,I-NP,B-ORG
,'s,B-NP,O
,standing,I-NP,O
,veterinary,I-NP,O
,committee,I-NP,O
,",",O,O
,mational,B-NP,O
,animal,I-NP,O
,health,I-NP,O
,officials,I-NP,O
,",",O,O
,questioned,B-VP,O
,if,B-SBAR,O
,such,B-NP,O
,action,I-NP,O
,was,B-VP,O
,justified,I-VP,O
,as,B-PP,O
,there,B-ADVP,O
,was,B-VP,O
,only,B-ADVP,O
,a,B-NP,O
,slight,I-NP,O
,risk,I-NP,O
,to,B-PP,O
,human,B-NP,O
,health,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Spanish,B-NP,B-MISC
,Farm,I-NP,O
,Minister,I-NP,O
,Loyola,I-NP,B-PER
,de,I-NP,I-PER
,Palacio,I-NP,I-PER
,had,B-VP,O
,earlier,I-VP,O
,accused,I-VP,O
,Fischler,B-NP,B-PER
,at,B-PP,O
,an,B-NP,O
,EU,I-NP,B-ORG
,farm,I-NP,O
,ministers,I-NP,O
,',B-NP,O
,meeting,I-NP,O
,of,B-PP,O
,causing,B-VP,O
,unjustified,B-ADJP,O
,alarm,B-NP,O
,through,B-PP,O
,"""",O,O
,dangerous,B-NP,O
,generalisation,I-NP,O
,.,I-NP,O
,.,.,0
,"""",O,O
,"
",O,O
,.,O,O
,.,.,0
,"
",O,O
,Only,B-NP,O
,France,I-NP,B-LOC
,and,I-NP,O
,Britain,I-NP,B-LOC
,backed,B-VP,O
,Fischler,B-NP,B-PER
,'s,B-NP,O
,proposal,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,The,B-NP,O
,EU,I-NP,B-ORG
,'s,B-NP,O
,scientific,I-NP,O
,veterinary,I-NP,O
,and,I-NP,O
,multidisciplinary,I-NP,O
,committees,I-NP,O
,are,B-VP,O
,due,B-ADJP,O
,to,B-VP,O
,re-examine,I-VP,O
,the,B-NP,O
,issue,I-NP,O
,early,B-NP,O
,next,I-NP,O
,month,I-NP,O
,and,O,O
,make,B-VP,O
,recommendations,B-NP,O
,to,B-PP,O
,the,B-NP,O
,senior,I-NP,O
,veterinary,I-NP,O
,officials,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Sheep,B-NP,O
,have,B-VP,O
,long,I-VP,O
,been,I-VP,O
,known,I-VP,O
,to,B-PP,O
,contract,B-NP,O
,scrapie,I-NP,O
,",",O,O
,a,B-NP,O
,brain-wasting,I-NP,O
,disease,I-NP,O
,similar,B-ADJP,O
,to,B-PP,O
,BSE,B-NP,B-MISC
,which,B-NP,O
,is,B-VP,O
,believed,I-VP,O
,to,I-VP,O
,have,I-VP,O
,been,I-VP,O
,transferred,I-VP,O
,to,B-PP,O
,cattle,B-NP,O
,through,B-PP,O
,feed,B-NP,O
,containing,B-VP,O
,animal,B-NP,O
,waste,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,British,B-NP,B-MISC
,farmers,I-NP,O
,denied,B-VP,O
,on,B-PP,O
,Thursday,B-NP,O
,there,B-NP,O
,was,B-VP,O
,any,B-NP,O
,danger,I-NP,O
,to,B-PP,O
,human,B-NP,O
,health,I-NP,O
,from,B-PP,O
,their,B-NP,O
,sheep,I-NP,O
,",",O,O
,but,O,O
,expressed,B-VP,O
,concern,B-NP,O
,that,B-SBAR,O
,German,B-NP,B-MISC
,government,I-NP,O
,advice,I-NP,O
,to,B-PP,O
,consumers,B-NP,O
,to,B-VP,O
,avoid,I-VP,O
,British,B-NP,B-MISC
,lamb,I-NP,O
,might,B-VP,O
,influence,I-VP,O
,consumers,B-NP,O
,across,B-PP,O
,Europe,B-NP,B-LOC
,.,B-NP,B-LOC
,.,.,0
,"
",B-NP,B-LOC
,"""",O,O
,What,B-NP,O
,we,B-NP,O
,have,B-VP,O
,to,I-VP,O
,be,I-VP,O
,extremely,B-ADJP,O
,careful,I-ADJP,O
,of,B-PP,O
,is,B-VP,O
,how,B-ADVP,O
,other,B-NP,O
,countries,I-NP,O
,are,B-VP,O
,going,I-VP,O
,to,I-VP,O
,take,I-VP,O
,Germany,B-NP,B-LOC
,'s,B-NP,O
,lead,I-NP,O
,",",O,O
,"""",O,O
,Welsh,B-NP,B-ORG
,National,I-NP,I-ORG
,Farmers,I-NP,I-ORG
,',B-NP,I-ORG
,Union,I-NP,I-ORG
,(,O,O
,NFU,B-NP,B-ORG
,),O,O
,chairman,B-NP,O
,John,I-NP,B-PER
,Lloyd,I-NP,I-PER
,Jones,I-NP,I-PER
,said,B-VP,O
,on,B-PP,O
,BBC,B-NP,B-ORG
,radio,I-NP,I-ORG
,.,I-NP,I-ORG
,.,.,0
,"
",I-NP,I-ORG
,Bonn,B-NP,B-LOC
,has,B-VP,O
,led,I-VP,O
,efforts,B-NP,O
,to,B-VP,O
,protect,I-VP,O
,public,B-NP,O
,health,I-NP,O
,after,B-PP,O
,consumer,B-NP,O
,confidence,I-NP,O
,collapsed,B-VP,O
,in,B-PP,O
,March,B-NP,O
,after,B-PP,O
,a,B-NP,O
,British,I-NP,B-MISC
,report,I-NP,O
,suggested,B-VP,O
,humans,B-NP,O
,could,B-VP,O
,contract,I-VP,O
,an,B-NP,O
,illness,I-NP,O
,similar,B-ADJP,O
,to,I-ADJP,O
,mad,I-ADJP,O
,cow,B-NP,O
,disease,I-NP,O
,by,B-PP,O
,eating,B-VP,O
,contaminated,I-VP,O
,beef,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,Germany,B-NP,B-LOC
,imported,B-VP,O
,"47,600",B-NP,O
,sheep,I-NP,O
,from,B-PP,O
,Britain,B-NP,B-LOC
,last,B-NP,O
,year,I-NP,O
,",",O,O
,nearly,B-NP,O
,half,I-NP,O
,of,B-PP,O
,total,B-NP,O
,imports,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,It,B-NP,O
,brought,B-VP,O
,in,B-PP,O
,"4,275",B-NP,O
,tonnes,I-NP,O
,of,B-PP,O
,British,B-NP,B-MISC
,mutton,I-NP,O
,",",O,O
,some,B-NP,O
,10,I-NP,O
,percent,I-NP,O
,of,B-PP,O
,overall,B-NP,O
,imports,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,"
",-X-,O
,Rare,B-NP,O
,Hendrix,I-NP,B-PER
,song,I-NP,O
,draft,I-NP,O
,sells,B-VP,O
,for,B-PP,O
,almost,B-NP,O
,$,I-NP,O
,"17,000",I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,LONDON,B-NP,B-LOC
,1996-08-22,I-NP,O
,"
",I-NP,O
,A,B-NP,O
,rare,I-NP,O
,early,I-NP,O
,handwritten,I-NP,O
,draft,I-NP,O
,of,B-PP,O
,a,B-NP,O
,song,I-NP,O
,by,B-PP,O
,U.S.,B-NP,B-LOC
,guitar,I-NP,O
,legend,I-NP,O
,Jimi,I-NP,B-PER
,Hendrix,I-NP,I-PER
,was,B-VP,O
,sold,I-VP,O
,for,B-PP,O
,almost,B-NP,O
,$,I-NP,O
,"17,000",I-NP,O
,on,B-PP,O
,Thursday,B-NP,O
,at,B-PP,O
,an,B-NP,O
,auction,I-NP,O
,of,B-PP,O
,some,B-NP,O
,of,B-PP,O
,the,B-NP,O
,late,I-NP,O
,musician,I-NP,O
,'s,B-NP,O
,favourite,I-NP,O
,possessions,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,A,B-NP,O
,Florida,I-NP,B-LOC
,restaurant,I-NP,O
,paid,B-VP,O
,"10,925",B-NP,O
,pounds,I-NP,O
,(,O,O
,$,B-NP,O
,"16,935",I-NP,O
,),O,O
,for,B-PP,O
,the,B-NP,O
,draft,I-NP,O
,of,B-PP,O
,"""",O,O
,Ai,B-VP,B-MISC
,n't,O,I-MISC
,no,B-NP,I-MISC
,telling,B-VP,I-MISC
,"""",O,O
,",",O,O
,which,B-NP,O
,Hendrix,B-NP,B-PER
,penned,B-VP,O
,on,B-PP,O
,a,B-NP,O
,piece,I-NP,O
,of,B-PP,O
,London,B-NP,B-LOC
,hotel,I-NP,O
,stationery,I-NP,O
,in,B-PP,O
,late,B-NP,O
,1966,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,At,B-PP,O
,the,B-NP,O
,end,I-NP,O
,of,B-PP,O
,a,B-NP,O
,January,I-NP,O
,1967,I-NP,O
,concert,I-NP,O
,in,B-PP,O
,the,B-NP,O
,English,I-NP,B-MISC
,city,I-NP,O
,of,B-PP,O
,Nottingham,B-NP,B-LOC
,he,B-NP,O
,threw,B-VP,O
,the,B-NP,O
,sheet,I-NP,O
,of,B-PP,O
,paper,B-NP,O
,into,B-PP,O
,the,B-NP,O
,audience,I-NP,O
,",",O,O
,where,B-ADVP,O
,it,B-NP,O
,was,B-VP,O
,retrieved,I-VP,O
,by,B-PP,O
,a,B-NP,O
,fan,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Buyers,B-NP,O
,also,B-ADVP,O
,snapped,B-VP,O
,up,B-ADVP,O
,16,B-NP,O
,other,I-NP,O
,items,I-NP,O
,that,B-NP,O
,were,B-VP,O
,put,I-VP,O
,up,B-PRT,O
,for,B-PP,O
,auction,B-NP,O
,by,B-PP,O
,Hendrix,B-NP,B-PER
,'s,B-NP,O
,former,I-NP,O
,girlfriend,I-NP,O
,Kathy,I-NP,B-PER
,Etchingham,I-NP,I-PER
,",",O,O
,who,B-NP,O
,lived,B-VP,O
,with,B-PP,O
,him,B-NP,O
,from,B-PP,O
,1966,B-NP,O
,to,B-PP,O
,1969,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,They,B-NP,O
,included,B-VP,O
,a,B-NP,O
,black,I-NP,O
,lacquer,I-NP,O
,and,I-NP,O
,mother,I-NP,O
,of,B-PP,O
,pearl,B-NP,O
,inlaid,B-VP,O
,box,B-NP,O
,used,B-VP,O
,by,B-PP,O
,Hendrix,B-NP,B-PER
,to,B-VP,O
,store,I-VP,O
,his,B-NP,O
,drugs,I-NP,O
,",",O,O
,which,B-NP,O
,an,B-NP,O
,anonymous,I-NP,O
,Australian,I-NP,B-MISC
,purchaser,I-NP,O
,bought,B-VP,O
,for,B-PP,O
,"5,060",B-NP,O
,pounds,I-NP,O
,(,O,O
,$,B-NP,O
,"7,845",I-NP,O
,),O,O
,.,O,O
,.,.,0
,"
",O,O
,The,B-NP,O
,guitarist,I-NP,O
,died,B-VP,O
,of,B-PP,O
,a,B-NP,O
,drugs,I-NP,O
,overdose,I-NP,O
,in,B-PP,O
,1970,B-NP,O
,aged,B-ADJP,O
,27,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"
",-X-,O
,China,B-NP,B-LOC
,says,B-VP,O
,Taiwan,B-NP,B-LOC
,spoils,B-VP,O
,atmosphere,B-NP,O
,for,B-PP,O
,talks,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,BEIJING,B-VP,B-LOC
,1996-08-22,B-NP,O
,"
",B-NP,O
,China,B-NP,B-LOC
,on,B-PP,O
,Thursday,B-NP,O
,accused,B-VP,O
,Taipei,B-NP,B-LOC
,of,B-PP,O
,spoiling,B-VP,O
,the,B-NP,O
,atmosphere,I-NP,O
,for,B-PP,O
,a,B-NP,O
,resumption,I-NP,O
,of,B-PP,O
,talks,B-NP,O
,across,B-PP,O
,the,B-NP,O
,Taiwan,I-NP,B-LOC
,Strait,I-NP,I-LOC
,with,B-PP,O
,a,B-NP,O
,visit,I-NP,O
,to,B-PP,O
,Ukraine,B-NP,B-LOC
,by,B-PP,O
,Taiwanese,B-NP,B-MISC
,Vice,I-NP,O
,President,I-NP,O
,Lien,I-NP,B-PER
,Chan,I-NP,I-PER
,this,B-NP,O
,week,I-NP,O
,that,B-NP,O
,infuriated,B-VP,O
,Beijing,B-NP,B-LOC
,.,B-NP,B-LOC
,.,.,0
,"
",B-NP,B-LOC
,Speaking,B-VP,O
,only,B-ADVP,O
,hours,B-NP,O
,after,B-PP,O
,Chinese,B-NP,B-MISC
,state,I-NP,O
,media,I-NP,O
,said,B-VP,O
,the,B-NP,O
,time,I-NP,O
,was,B-VP,O
,right,B-ADJP,O
,to,B-VP,O
,engage,I-VP,O
,in,B-PP,O
,political,B-NP,O
,talks,I-NP,O
,with,B-PP,O
,Taiwan,B-NP,B-LOC
,",",O,O
,Foreign,B-NP,B-ORG
,Ministry,I-NP,I-ORG
,spokesman,I-NP,O
,Shen,I-NP,B-PER
,Guofang,I-NP,I-PER
,told,B-VP,O
,Reuters,B-NP,B-ORG
,:,O,O
,"""",O,O
,The,B-NP,O
,necessary,I-NP,O
,atmosphere,I-NP,O
,for,B-PP,O
,the,B-NP,O
,opening,I-NP,O
,of,B-PP,O
,the,B-NP,O
,talks,I-NP,O
,has,B-VP,O
,been,I-VP,O
,disrupted,I-VP,O
,by,B-PP,O
,the,B-NP,O
,Taiwan,I-NP,B-LOC
,authorities,I-NP,O
,.,I-NP,O
,.,.,0
,"""",O,O
,"
",O,O
,State,B-NP,O
,media,I-NP,O
,quoted,B-VP,O
,China,B-NP,B-LOC
,'s,B-NP,O
,top,I-NP,O
,negotiator,I-NP,O
,with,B-PP,O
,Taipei,B-NP,B-LOC
,",",O,O
,Tang,B-NP,B-PER
,Shubei,I-NP,I-PER
,",",O,O
,as,B-PP,O
,telling,B-VP,O
,a,B-NP,O
,visiting,I-NP,O
,group,I-NP,O
,from,B-PP,O
,Taiwan,B-NP,B-LOC
,on,B-PP,O
,Wednesday,B-NP,O
,that,B-SBAR,O
,it,B-NP,O
,was,B-VP,O
,time,B-NP,O
,for,B-PP,O
,the,B-NP,O
,rivals,I-NP,O
,to,B-VP,O
,hold,I-VP,O
,political,B-NP,O
,talks,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,"""",O,O
,Now,B-ADVP,O
,is,B-VP,O
,the,B-NP,O
,time,I-NP,O
,for,B-PP,O
,the,B-NP,O
,two,I-NP,O
,sides,I-NP,O
,to,B-VP,O
,engage,I-VP,O
,in,B-PP,O
,political,B-NP,O
,talks,I-NP,O
,...,O,O
,"
",O,O
,that,B-NP,O
,is,B-VP,O
,to,B-VP,O
,end,I-VP,O
,the,B-NP,O
,state,I-NP,O
,of,B-PP,O
,hostility,B-NP,O
,",",O,O
,"""",O,O
,Thursday,B-NP,O
,'s,B-NP,O
,overseas,I-NP,O
,edition,I-NP,O
,of,B-PP,O
,the,B-NP,O
,People,I-NP,B-ORG
,'s,B-NP,I-ORG
,Daily,I-NP,I-ORG
,quoted,B-VP,O
,Tang,B-NP,B-PER
,as,B-PP,O
,saying,B-VP,O
,.,B-VP,O
,.,.,0
,"
",B-VP,O
,The,B-NP,O
,foreign,I-NP,O
,ministry,I-NP,O
,'s,B-NP,O
,Shen,I-NP,B-ORG
,told,B-VP,O
,Reuters,B-NP,B-ORG
,Television,I-NP,I-ORG
,in,B-PP,O
,an,B-NP,O
,interview,I-NP,O
,he,B-NP,O
,had,B-VP,O
,read,I-VP,O
,reports,B-NP,O
,of,B-PP,O
,Tang,B-NP,B-PER
,'s,B-NP,O
,comments,I-NP,O
,but,O,O
,gave,B-VP,O
,no,B-NP,O
,details,I-NP,O
,of,B-PP,O
,why,B-ADVP,O
,the,B-NP,O
,negotiator,I-NP,O
,had,B-VP,O
,considered,I-VP,O
,the,B-NP,O
,time,I-NP,O
,right,B-ADVP,O
,for,B-PP,O
,talks,B-NP,O
,with,B-PP,O
,Taiwan,B-NP,B-LOC
,",",O,O
,which,B-NP,O
,Beijing,B-NP,B-LOC
,considers,B-VP,O
,a,B-NP,O
,renegade,I-NP,O
,province,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,China,B-NP,B-LOC
,",",O,O
,which,B-NP,O
,has,B-VP,O
,long,I-VP,O
,opposed,I-VP,O
,all,B-NP,O
,Taipei,I-NP,B-LOC
,efforts,I-NP,O
,to,B-VP,O
,gain,I-VP,O
,greater,B-NP,O
,international,I-NP,O
,recognition,I-NP,O
,",",O,O
,was,B-VP,O
,infuriated,I-VP,O
,by,B-PP,O
,a,B-NP,O
,visit,I-NP,O
,to,B-PP,O
,Ukraine,B-NP,B-LOC
,this,B-NP,O
,week,I-NP,O
,by,B-PP,O
,Taiwanese,B-NP,B-MISC
,Vice,I-NP,O
,President,I-NP,O
,Lien,I-NP,B-PER
,.,I-NP,B-PER
,.,.,0
,"
",I-NP,B-PER
,"
",-X-,O
,China,B-NP,B-LOC
,says,B-VP,O
,time,B-NP,O
,right,B-ADVP,O
,for,B-PP,O
,Taiwan,B-NP,B-LOC
,talks,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,BEIJING,B-VP,B-LOC
,1996-08-22,B-NP,O
,"
",B-NP,O
,China,B-NP,B-LOC
,has,B-VP,O
,said,I-VP,O
,it,B-NP,O
,was,B-VP,O
,time,B-NP,O
,for,B-PP,O
,political,B-NP,O
,talks,I-NP,O
,with,B-PP,O
,Taiwan,B-NP,B-LOC
,and,O,O
,that,B-SBAR,O
,the,B-NP,O
,rival,I-NP,O
,island,I-NP,O
,should,B-VP,O
,take,I-VP,O
,practical,B-NP,O
,steps,I-NP,O
,towards,B-PP,O
,that,B-NP,O
,goal,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Consultations,B-NP,O
,should,B-VP,O
,be,I-VP,O
,held,I-VP,O
,to,B-VP,O
,set,I-VP,O
,the,B-NP,O
,time,I-NP,O
,and,I-NP,O
,format,I-NP,O
,of,B-PP,O
,the,B-NP,O
,talks,I-NP,O
,",",O,O
,the,B-NP,O
,official,I-NP,O
,Xinhua,I-NP,B-ORG
,news,I-NP,O
,agency,I-NP,O
,quoted,B-VP,O
,Tang,B-NP,B-PER
,Shubei,I-NP,I-PER
,",",O,O
,executive,B-NP,O
,vice,I-NP,O
,chairman,I-NP,O
,of,B-PP,O
,the,B-NP,O
,Association,I-NP,B-ORG
,for,B-PP,I-ORG
,Relations,B-NP,I-ORG
,Across,B-PP,I-ORG
,the,B-NP,I-ORG
,Taiwan,I-NP,I-ORG
,Straits,I-NP,I-ORG
,",",O,O
,as,B-PP,O
,saying,B-VP,O
,late,B-NP,O
,on,B-ADVP,O
,Wednesday,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,"
",-X-,O
,German,B-NP,B-MISC
,July,I-NP,O
,car,I-NP,O
,registrations,I-NP,O
,up,B-ADVP,O
,14.2,B-NP,O
,pct,I-NP,O
,yr,I-NP,O
,/,O,O
,yr,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,FRANKFURT,B-NP,B-LOC
,1996-08-22,I-NP,O
,"
",I-NP,O
,German,B-NP,B-MISC
,first-time,I-NP,O
,registrations,I-NP,O
,of,B-PP,O
,motor,B-NP,O
,vehicles,I-NP,O
,jumped,B-VP,O
,14.2,B-NP,O
,percent,I-NP,O
,in,B-PP,O
,July,B-NP,O
,this,B-NP,O
,year,I-NP,O
,from,B-PP,O
,the,B-NP,O
,year-earlier,I-NP,O
,period,I-NP,O
,",",O,O
,the,B-NP,O
,Federal,I-NP,B-ORG
,office,I-NP,I-ORG
,for,B-PP,I-ORG
,motor,B-NP,I-ORG
,vehicles,I-NP,I-ORG
,said,B-VP,O
,on,B-PP,O
,Thursday,B-NP,O
,.,B-NP,O
,.,.,0
,"
",B-NP,O
,The,B-NP,O
,office,I-NP,O
,said,B-VP,O
,"356,725",B-NP,O
,new,I-NP,O
,cars,I-NP,O
,were,B-VP,O
,registered,I-VP,O
,in,B-PP,O
,July,B-NP,O
,1996,I-NP,O
Sentence :38,--,I-NP,O
,"304,850",B-NP,O
,passenger,I-NP,O
,cars,I-NP,O
,and,O,O
,"15,613",B-NP,O
,trucks,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,The,B-NP,O
,figures,I-NP,O
,represent,B-VP,O
,a,B-NP,O
,13.6,I-NP,O
,percent,I-NP,O
,increase,I-NP,O
,for,B-PP,O
,passenger,B-NP,O
,cars,I-NP,O
,and,O,O
,a,B-NP,O
,2.2,I-NP,O
,percent,I-NP,O
,decline,I-NP,O
,for,B-PP,O
,trucks,B-NP,O
,from,B-PP,O
,July,B-NP,O
,1995,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Motor-bike,B-NP,O
,registration,I-NP,O
,rose,B-VP,O
,32.7,B-NP,O
,percent,I-NP,O
,in,B-PP,O
,the,B-NP,O
,period,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,The,B-NP,O
,growth,I-NP,O
,was,B-VP,O
,partly,I-VP,O
,due,I-VP,O
,to,I-VP,O
,an,B-NP,O
,increased,I-NP,O
,number,I-NP,O
,of,B-PP,O
,Germans,B-NP,B-MISC
,buying,B-VP,O
,German,B-NP,B-MISC
,cars,I-NP,O
,abroad,B-ADVP,O
,",",O,O
,while,B-SBAR,O
,manufacturers,B-NP,O
,said,B-VP,O
,that,B-NP,O
,domestic,I-NP,O
,demand,I-NP,O
,was,B-VP,O
,weak,B-ADJP,O
,",",O,O
,the,B-NP,O
,federal,I-NP,O
,office,I-NP,O
,said,B-VP,O
,.,B-VP,O
,.,.,0
,"
",B-VP,O
,Almost,B-NP,O
,all,I-NP,O
,German,I-NP,B-MISC
,car,I-NP,O
,manufacturers,I-NP,O
,posted,B-VP,O
,gains,B-NP,O
,in,B-PP,O
,registration,B-NP,O
,numbers,I-NP,O
,in,B-PP,O
,the,B-NP,O
,period,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Volkswagen,B-NP,B-ORG
,AG,I-NP,I-ORG
,won,B-VP,O
,"77,719",B-NP,O
,registrations,I-NP,O
,",",O,O
,slightly,B-NP,O
,more,I-NP,O
,than,I-NP,O
,a,I-NP,O
,quarter,I-NP,O
,of,B-PP,O
,the,B-NP,O
,total,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Opel,B-NP,B-ORG
,AG,I-NP,I-ORG
,together,B-ADVP,O
,with,B-PP,O
,General,B-NP,B-ORG
,Motors,I-NP,I-ORG
,came,B-VP,O
,in,B-PP,O
,second,B-NP,O
,place,I-NP,O
,with,B-PP,O
,"49,269",B-NP,O
,registrations,I-NP,O
,",",O,O
,16.4,B-NP,O
,percent,I-NP,O
,of,B-PP,O
,the,B-NP,O
,overall,I-NP,O
,figure,I-NP,O
,.,I-NP,O
,.,.,0
,"
",I-NP,O
,Third,B-NP,O
,was,B-VP,O
,Ford,B-NP,B-ORG
,with,B-PP,O
,"35,563",B-NP,O
,registrations,I-NP,O
,",",O,O
